N_Accesion,Serotype,Country,Location,Year
FJ639670,DENV_1,Cambodia,PHP,2001
FJ461303,DENV_1,Viet Nam,South Viet Nam,2007
FJ384655,DENV_1,Brazil,NA,NA
KF289073,DENV_1,India,NA,1956
KP723473,DENV_1,China,Guangdong,2014
FJ196847,DENV_1,China,Guangzhou,1997
FJ196846,DENV_1,China,Guangzhou,1995
FJ196845,DENV_1,China,Guangzhou,1991
FJ196842,DENV_1,China,Guangzhou,2003
GU131863,DENV_1,Brazil,Sao Paulo,2008
JF459993,DENV_1,Myanmar,NA,2002
JN638344,DENV_1,Thailand,NA,1995
EU848545,DENV_1,United States,Hawaii,1944
GU131792,DENV_1,Viet Nam,South Viet Nam,2008
EF457905,DENV_1,Malaysia,NA,1972
KF184975,DENV_1,Angola,NA,2013
KJ755855,DENV_1,India,NA,2013
AF298807,DENV_1,Cote d'Ivoire,Abidjan,NA
AF180818,DENV_1,NA,NA,1600
AY722803,DENV_1,Myanmar,NA,1998
AB204803,DENV_1,Micronesia,NA,NA
JQ915076,DENV_1,French Polynesia,Tahiti,2009
JQ922546,DENV_1,India,Jaipur,1971
LC128301,DENV_1,Philippines,NA,2016
DQ285559,DENV_1,NA,NA,2004
AY732483,DENV_1,Thailand,Bangkok,1981
KP406801,DENV_1,South Korea,NA,2004
FJ898385,DENV_1,Viet Nam,South Viet Nam,2007
LC011949,DENV_1,Japan,Shizuoka,2014
JN903578,DENV_1,India,NA,2007
KC692498,DENV_1,Argentina,Buenos Aires,2009
EU482814,DENV_1,Viet Nam,South Viet Nam,2006
FJ882548,DENV_1,Viet Nam,South Viet Nam,2007
GU131900,DENV_2,Cambodia,SRP,2008
HM181971,DENV_2,Brazil,Sao Paulo,2008
GU131843,DENV_2,Burkina Faso,NA,1986
JQ955624,DENV_2,India,Odisha,2011
KF955359,DENV_2,Puerto Rico,NA,2006
JX475906,DENV_2,India,Hyderabad,2009
KC294216,DENV_2,Peru,Iquitos,2002
KF744397,DENV_2,Philippines,NA,2001
KF744399,DENV_2,Philippines,NA,1998
KF744400,DENV_2,Philippines,NA,2000
KJ918750,DENV_2,India,NA,2007
KF704354,DENV_2,Cuba,NA,1981
KC131142,DENV_2,China,Guangdong,2012
JQ922549,DENV_2,India,Dhule,1996
JQ922550,DENV_2,India,Jaipur,1971
JF730044,DENV_2,Cambodia,RAT,2001
KC964095,DENV_2,China,Nanhai,1998
JQ922551,DENV_2,India,Pune,2005
JQ922552,DENV_2,India,Vellore,1960
JQ922553,DENV_2,India,Kolkata,1980
JX966380,DENV_2,Puerto Rico,NA,1969
GQ868591,DENV_2,Thailand,NA,1964
KM279536,DENV_2,Singapore,NA,2012
FJ410195,DENV_2,Viet Nam,South Viet Nam,2007
FJ467493,DENV_2,Malaysia,NA,2008
EU687233,DENV_3,Puerto Rico,NA,2002
EU179859,DENV_2,NA,NA,2006
EU003591,DENV_2,Nigeria,NA,1966
EF457904,DENV_2,Senegal,NA,1999
EF105385,DENV_2,Senegal,NA,1974
EF105379,DENV_2,Malaysia,NA,1970
DQ181801,DENV_2,Thailand,Bangkok,1990
EU482666,DENV_2,Viet Nam,South Viet Nam,2006
GQ398258,DENV_2,Indonesia,NA,1975
KP406804,DENV_2,South Korea,NA,NA
GQ398269,DENV_2,Puerto Rico,NA,1994
FJ744745,DENV_2,Nicaragua,Masaya,2000
JQ045689,DENV_3,Viet Nam,NA,NA
KF955477,DENV_3,India,NA,1984
KF824903,DENV_3,China,NA,2013
AY648961,DENV_3,Indonesia,NA,NA
AY662691,DENV_3,Singapore,NA,NA
AY496879,DENV_3,Philippines,NA,1997
AY858037,DENV_3,Indonesia,Jakarta,2004
AF317645,DENV_3,China,Guangxi,NA
KF041254,DENV_3,Pakistan,Karachi,2008
JQ922555,DENV_3,India,Vellore,1966
KC762690,DENV_3,Indonesia,Makassar,2008
FJ182038,DENV_3,Puerto Rico,NA,2005
FJ882572,DENV_3,Sri Lanka,NA,1989
KF954948,DENV_3,China,Zhongshan,2013
GQ199879,DENV_4,Puerto Rico,NA,1994
AF289029,DENV_4,China,Guangzhou,NA
AY618992,DENV_4,Thailand,Bangkok,NA
KJ579242,DENV_4,Brazil,Cuiaba,2012
AY618989,DENV_4,Thailand,Bangkok,NA
AY618993,DENV_4,Thailand,Bangkok,NA
GQ398256,DENV_4,Singapore,NA,2005
KF041260,DENV_4,Pakistan,Karachi,2009
FJ196849,DENV_4,China,Guangzhou,1978
EF457906,DENV_4,Malaysia,NA,1975
KP140942,DENV_4,Haiti,NA,2014
FJ024476,DENV_4,Colombia,Santander,1997
JF262783,DENV_4,India,NA,1961
JQ922559,DENV_4,India,NA,1979